GID,NAME,LANGUAGE
5.10,SK Erikoiskuljetusperävaunu,fi
2.9,CI Avokattoinen yksikerroksinen ajoneuvo,fi
3.1,BA Tavara-auto,fi
2.10,CJ Avokattoinen kaksikerroksinen ajoneuvo,fi
SK,Erikoiskuljetusperävaunu,fi
SK,Släpvagn för transport av exceptionell last,sv
SK,Exceptional load transport trailer,en
SL,Erikoiskuljetusauto,fi
SL,Motorfordon för transport av exceptionell last,sv
SL,Exceptional load transport motor vehicle,en
SM,Monilaiteajoneuvo,fi
SM,Redskapsbärare,sv
SM,Multi-equipment carrier,en
