GID,NAME,LANGUAGE
288,Kronoby,sv
290,Kuhmo,fi
290,Kuhmo,sv
291,Kuhmoinen,fi
291,Kuhmoinen,sv
295,Kumlinge,fi
295,Kumlinge,sv
297,Kuopio,fi
297,Kuopio,sv
300,Kuortane,fi
300,Kuortane,sv
301,Kurikka,fi
301,Kurikka,sv
304,Kustavi,fi
304,Gustavs,sv
305,Kuusamo,fi
305,Kuusamo,sv
309,Outokumpu,fi
309,Outokumpu,sv
312,Kyyjärvi,fi
312,Kyyjärvi,sv
316,Kärkölä,fi
316,Kärkölä,sv
317,Kärsämäki,fi
317,Kärsämäki,sv
318,Kökar,fi
318,Kökar,sv
319,Köyliö,fi
319,Kjulo,sv
320,Kemijärvi,fi
320,Kemijärvi,sv
398,Lahti,fi
398,Lahtis,sv
399,Laihia,fi
399,Laihia,sv
400,Laitila,fi
400,Laitila,sv
402,Lapinlahti,fi
402,Lapinlahti,sv
403,Lappajärvi,fi
403,Lappajärvi,sv
405,Lappeenranta,fi
405,Villmanstrand,sv
407,Lapinjärvi,fi
407,Lappträsk,sv
408,Lapua,fi
408,Lappo,sv
410,Laukaa,fi
410,Laukaa,sv
413,Lavia,fi
413,Lavia,sv
416,Lemi,sv
416,Lemi,fi
417,Lemland,fi
417,Lemland,sv
418,Lempäälä,fi
418,Lempäälä,sv
420,Leppävirta,fi
420,Leppävirta,sv
421,Lestijärvi,fi
421,Lestijärvi,sv
422,Lieksa,fi
422,Lieksa,sv
423,Lieto,fi
423,Lieto,sv
425,Liminka,fi
425,Liminka,sv
426,Liperi,fi
426,Libelits,sv
430,Loimaa,fi
430,Loimaa,sv
433,Loppi,fi
433,Loppi,sv
434,Loviisa,fi
434,Lovisa,sv
435,Luhanka,fi
435,Luhanka,sv
436,Lumijoki,fi
436,Lumijoki,sv
438,Lumparland,fi
438,Lumparland,sv
440,Luoto,fi
440,Larsmo,sv
441,Luumäki,fi
441,Luumäki,sv
442,Luvia,fi
442,Luvia,sv
444,Lohja,fi
444,Lojo,sv
475,Maalahti,fi
475,Malax,sv
476,Maaninka,fi
476,Maaninka,sv
478,Maarianhamina,fi
478,Mariehamn,sv
480,Marttila,fi
480,St Mårtens,sv
481,Masku,fi
481,Masku,sv
483,Merijärvi,fi
483,Merijärvi,sv
484,Merikarvia,fi
484,Merikarvia,sv
489,Miehikkälä,fi
489,Miehikkälä,sv
491,Mikkeli,fi
491,St Michel,sv
494,Muhos,fi
494,Muhos,sv
495,Multia,fi
495,Multia,sv
498,Muonio,fi
498,Muonio,sv
499,Mustasaari,fi
499,Korsholm,sv
500,Muurame,fi
500,Muurame,sv
503,Mynämäki,fi
503,Virmo,sv
504,Myrskylä,fi
504,Mörskom,sv
505,Mäntsälä,fi
505,Mäntsälä,sv
507,Mäntyharju,fi
507,Mäntyharju,sv
529,Naantali,fi
529,Nådendal,sv
531,Nakkila,fi
531,Nakkila,sv
532,Nastola,fi
532,Nastola,sv
535,Nivala,fi
535,Nivala,sv
536,Nokia,fi
536,Nokia,sv
538,Nousiainen,fi
538,Nousiainen,sv
541,Nurmes,fi
541,Nurmes,sv
543,Nurmijärvi,fi
543,Nurmijärvi,sv
545,Närpiö,fi
545,Närpes,sv
560,Orimattila,fi
560,Orimattila,sv
561,Oripää,fi
561,Oripää,sv
562,Orivesi,fi
562,Orivesi,sv
563,Oulainen,fi
563,Oulainen,sv
564,Oulu,fi
564,Uleåborg,sv
576,Padasjoki,fi
576,Padasjoki,sv
577,Paimio,fi
577,Pemar,sv
578,Paltamo,fi
578,Paltamo,sv
580,Parikkala,fi
580,Parikkala,sv
581,Parkano,fi
581,Parkano,sv
583,Pelkosenniemi,fi
583,Pelkosenniemi,sv
584,Perho,fi
584,Perho,sv
588,Pertunmaa,fi
588,Pertunmaa,sv
592,Petäjävesi,fi
592,Petäjävesi,sv
593,Pieksämäki,fi
593,Pieksämäki,sv
595,Pielavesi,fi
595,Pielavesi,sv
598,Pietarsaari,fi
598,Jakobstad,sv
599,Pedersören kunta,fi
599,Pedersöre,sv
601,Pihtipudas,fi
601,Pihtipudas,sv
604,Pirkkala,fi
604,Pirkkala,sv
607,Polvijärvi,fi
607,Polvijärvi,sv
608,Pomarkku,fi
608,Påmark,sv
